id,cidade,area,quantidade_quartos,quantidade_banheiros,quantidade_vagas,andar,permitido_animal,mobiliado,aluguel,imposto_imovel,seguro_fogo,total
29,Campinas,208,3,2,4,-,true,true,318000,10000,4800,332800
30,São Paulo,20,1,1,0,5,true,true,180000,13000,2300,255500
31,São Paulo,55,2,2,2,6,true,true,106800,14200,1400,200400
32,São Paulo,32,1,1,0,3,true,true,170000,2900,2200,226600
33,São Paulo,80,2,2,1,11,true,true,255000,21600,3300,400700
34,Rio de Janeiro,45,1,1,1,10,true,true,250000,59300,3300,557600
35,São Paulo,350,4,4,3,8,true,true,400000,50000,5100,665100
36,Porto Alegre,38,1,1,2,11,true,true,175000,0,2600,222600
37,São Paulo,30,1,1,0,1,true,true,160000,0,2100,208100
38,Belo Horizonte,80,3,2,1,-,true,true,1100000,42500,18100,1161000
39,São Paulo,70,2,1,0,-,true,true,115000,5900,1800,122700
40,Porto Alegre,40,1,1,1,6,true,true,299000,0,4400,342400
41,São Paulo,300,4,6,4,20,true,true,1200000,158400,15300,1744000
42,São Paulo,240,3,2,3,-,true,true,350000,29200,5300,384500
43,Belo Horizonte,200,4,2,1,7,true,true,255000,900,3400,344300
44,Belo Horizonte,45,1,1,1,5,true,true,163100,19200,1200,233500
45,São Paulo,360,4,5,0,1,true,true,641000,200000,8200,1249000
46,São Paulo,40,1,1,1,10,true,true,282900,0,3300,384000
47,Belo Horizonte,100,3,1,0,13,true,true,122000,1000,1700,194700
48,Porto Alegre,42,1,1,2,2,true,true,177000,1700,2600,200300
49,Campinas,250,3,3,2,1,true,true,170000,25600,2200,417800
50,Campinas,48,1,1,1,2,true,true,160000,5900,2100,218500
51,Rio de Janeiro,90,3,3,1,10,true,true,380000,14700,4900,524600
52,São Paulo,45,1,2,1,15,true,true,390000,15000,5000,495600
53,Rio de Janeiro,150,2,3,4,6,true,true,400000,70000,5200,645200
54,São Paulo,60,2,1,0,2,true,true,144500,0,1900,166400
55,São Paulo,31,1,1,0,4,true,true,235000,5600,3000,280600
56,São Paulo,210,4,5,4,4,true,true,900000,77200,11500,1154000
57,São Paulo,280,3,1,2,-,true,true,600000,11300,9100,620400
58,Campinas,93,2,3,2,9,true,true,550000,13300,7000,636600
59,Porto Alegre,75,3,2,1,9,true,true,180000,10900,2700,227600
60,São Paulo,194,3,4,3,-,true,true,400000,7000,6100,413100
61,São Paulo,41,1,1,1,6,true,true,400000,13100,5100,470500
62,Rio de Janeiro,65,1,1,1,8,true,true,510000,25000,6600,741600
63,São Paulo,70,2,1,1,13,true,true,215000,6700,2800,300600
64,São Paulo,278,4,5,2,16,true,true,900000,126100,11500,1443000
65,Rio de Janeiro,35,1,1,0,5,true,true,152100,2100,2000,186800
66,Campinas,300,4,4,3,2,true,true,600000,41700,7700,879400
67,São Paulo,61,2,1,1,4,true,true,185000,0,2400,233300
68,Rio de Janeiro,130,3,2,1,7,true,true,170000,47500,2200,385700
69,Rio de Janeiro,80,2,1,1,20,true,true,90000,9000,1200,150200
70,São Paulo,164,4,4,2,6,true,true,500000,38600,6400,760900
71,Belo Horizonte,220,4,2,3,3,true,true,242200,12500,3300,303000
72,São Paulo,45,1,1,0,-,true,true,105000,4600,1600,111200
73,São Paulo,108,3,2,2,7,true,true,560000,43500,7100,739600
74,Belo Horizonte,128,1,1,0,4,true,true,210000,18200,2800,272800
75,Rio de Janeiro,60,1,1,0,10,true,true,180000,4800,2400,232200
76,São Paulo,250,4,5,4,6,true,true,980000,99800,12500,1297000
77,Porto Alegre,47,1,1,1,1,true,true,220000,0,3300,263300
78,Belo Horizonte,170,4,3,4,9,true,true,270000,29600,3600,377600
79,São Paulo,45,1,1,0,1,true,true,124000,0,1600,155600
80,São Paulo,42,1,1,1,15,true,true,350000,12300,4500,435400
81,São Paulo,164,4,4,3,1,true,true,600000,55000,7700,846700
82,São Paulo,70,3,1,1,1,true,true,102000,20000,1300,193300
83,Porto Alegre,100,4,3,1,8,true,true,220000,15900,3300,299200
84,São Paulo,64,2,2,2,4,true,true,450000,44000,5800,629800
85,Belo Horizonte,68,2,1,1,3,true,true,120000,2700,1600,156300
86,Belo Horizonte,75,2,2,2,14,true,true,250000,26400,3400,341800
87,São Paulo,600,4,4,4,9,true,true,850000,336800,10800,1938000
88,São Paulo,63,2,2,0,15,true,true,155000,15200,2000,231200
89,São Paulo,145,3,4,3,1,true,true,600000,75000,7700,802700
90,São Paulo,85,2,2,2,3,true,true,280000,29200,3600,462800
91,São Paulo,254,4,4,4,7,true,true,900000,180000,11500,1428000
92,Porto Alegre,350,4,4,4,-,true,true,900000,35900,16000,952000
93,São Paulo,300,4,4,3,-,true,true,350000,58400,5300,413700
94,Belo Horizonte,296,4,3,2,-,true,true,1350000,42300,22200,1415000
95,São Paulo,64,2,2,2,8,true,true,280000,3000,3600,331600
96,São Paulo,133,3,2,0,6,true,true,295700,3800,3800,384600
97,Campinas,44,1,1,0,7,true,true,55000,1200,700,91900
98,Campinas,240,3,4,2,-,true,true,300000,25000,4600,329600
99,Porto Alegre,70,3,2,1,4,true,true,250000,800,3700,303500
100,São Paulo,22,1,1,0,26,true,true,205000,4500,2600,242300
101,Porto Alegre,50,1,1,1,1,true,true,95000,5000,1400,136400
102,Porto Alegre,67,3,2,2,4,true,true,220000,5000,3300,288300
103,São Paulo,31,1,1,0,6,true,true,230000,0,3000,276000
104,Rio de Janeiro,90,2,1,1,1,true,true,346800,19100,4500,455400
105,Rio de Janeiro,109,3,3,1,1,true,true,380000,30000,4900,614900
106,Belo Horizonte,400,4,2,2,-,true,true,250000,7400,4100,261500
107,São Paulo,300,4,5,4,-,true,true,1400000,116700,21100,1538000
108,Campinas,284,4,3,3,4,true,true,600000,48300,7700,890000
109,Porto Alegre,70,2,1,1,3,true,true,240000,3000,3600,282600
110,Rio de Janeiro,309,4,5,4,7,true,true,650000,68200,8400,992700
111,São Paulo,70,2,1,0,-,true,true,210000,13400,3200,226600
112,São Paulo,360,3,4,1,10,true,true,1000000,58400,12700,1301000
113,São Paulo,30,1,1,1,10,true,true,150000,0,2000,240600
114,Campinas,80,2,2,2,11,true,true,220000,17100,2800,323100
115,Belo Horizonte,133,4,4,3,6,true,true,700000,80000,9400,939400
116,São Paulo,38,1,1,1,14,true,true,280000,27900,3600,473500
117,São Paulo,73,2,2,1,7,true,true,350000,10000,4500,474500
118,São Paulo,155,3,4,2,4,true,true,200000,15000,2600,367600
119,São Paulo,63,2,2,1,15,true,true,320000,5000,4100,364800
120,São Paulo,58,2,1,1,1,true,true,140000,0,1800,141800
121,São Paulo,48,1,1,0,9,true,true,345000,0,4400,387100
122,São Paulo,210,3,4,3,7,true,true,279000,83400,3600,536000
123,Belo Horizonte,100,3,2,2,2,true,true,160000,18300,2200,214500
124,São Paulo,94,3,2,2,1,true,true,357000,14000,4600,509300
125,São Paulo,94,3,3,2,3,true,true,501000,39500,6400,668900
126,São Paulo,76,3,1,1,4,true,true,250000,26700,3200,399900
127,São Paulo,192,3,3,2,13,true,true,780000,63400,9900,1063000
128,São Paulo,217,3,4,3,1,true,true,650000,0,8300,946700
129,São Paulo,68,2,1,1,5,true,true,140000,3500,1800,206300
130,São Paulo,110,3,2,2,2,true,true,240000,24700,3100,382300
131,Belo Horizonte,95,2,2,1,3,true,true,160000,16400,2200,244600
132,São Paulo,900,4,6,8,-,true,true,1500000,441700,22600,1964000
133,São Paulo,34,1,1,0,5,true,true,120000,4500,1600,160800
134,São Paulo,192,3,4,3,5,true,true,800000,0,10200,1010000
135,Porto Alegre,62,2,2,1,9,true,true,180000,7500,2700,225200
136,São Paulo,180,3,3,4,-,true,true,370000,18400,5600,394000
137,Campinas,44,1,1,0,3,true,true,91600,1200,1200,129000
138,Belo Horizonte,100,2,1,1,1,true,true,170000,11600,2300,208900
139,Rio de Janeiro,140,3,3,1,24,true,true,137000,10000,1800,238800
140,São Paulo,170,3,3,3,8,true,true,280000,64800,3600,505400
141,São Paulo,100,3,2,2,-,true,true,160000,15000,2500,177500
142,São Paulo,75,3,2,2,4,true,true,160000,8200,2100,235500
143,Rio de Janeiro,52,2,1,0,2,true,true,120000,4300,1600,145900
144,Campinas,999,5,7,8,-,true,true,1400000,66700,21100,1488000
145,São Paulo,270,4,4,4,8,true,true,700000,150000,8900,1079000
146,Belo Horizonte,50,2,1,1,1,true,true,93000,6000,1300,116300
147,Campinas,200,3,3,2,-,true,true,221000,18400,3400,307800
148,São Paulo,71,2,2,0,16,true,true,192000,10000,2500,247500
149,São Paulo,500,5,4,6,-,true,true,1300000,25000,19600,1345000
150,São Paulo,60,2,1,0,-,true,true,108000,9400,1700,119100
151,São Paulo,110,2,1,0,8,true,true,130000,8400,1700,250100
152,São Paulo,210,3,3,4,-,true,true,329400,27600,5000,362000
153,São Paulo,220,3,4,3,8,true,true,600000,99600,7700,909400
154,Belo Horizonte,200,3,2,5,-,true,true,400000,20400,6600,427000
155,São Paulo,130,3,4,3,2,true,true,425000,50200,5400,710600
156,São Paulo,65,2,2,2,7,true,true,400000,24500,5100,533300
157,São Paulo,96,3,2,2,17,true,true,320000,25000,4100,429500
158,São Paulo,660,4,5,5,12,true,true,2000000,175000,25400,2680000
159,Rio de Janeiro,107,3,2,0,7,true,true,320000,27000,4200,497200
160,Rio de Janeiro,105,3,2,0,1,true,true,220000,900,2900,297800
161,Rio de Janeiro,100,3,2,0,7,true,true,329000,10900,4300,434200
162,São Paulo,287,3,4,4,-,true,true,900000,43000,13600,956600
163,Campinas,24,1,1,0,1,true,true,118000,900,1500,143400
164,São Paulo,22,1,1,0,-,true,true,97600,0,1500,99100
165,São Paulo,70,1,1,1,-,true,true,252900,14200,3900,271000
166,Porto Alegre,44,1,1,1,2,true,true,150000,1700,2200,178900
167,São Paulo,150,3,2,2,-,true,true,250000,0,3800,253800
168,São Paulo,90,1,2,2,9,true,true,290000,22000,3700,415500
169,São Paulo,200,4,4,2,8,true,true,280000,83000,3600,666600
170,São Paulo,320,8,4,0,-,true,true,1050000,35000,15800,1146000
171,Porto Alegre,90,2,1,1,2,true,true,170000,11000,2500,238500
172,São Paulo,240,4,4,3,9,true,true,214400,83400,2800,550600
173,São Paulo,154,4,3,3,21,true,true,700000,102000,8900,979300
174,São Paulo,60,2,2,2,2,true,true,323000,28400,4100,589500
175,Campinas,101,3,2,0,5,true,true,238000,9100,3100,328200
176,Porto Alegre,140,3,4,2,-,true,true,309000,0,5500,314500
177,São Paulo,500,4,5,8,-,true,true,1500000,185000,22600,1708000
178,São Paulo,110,3,3,3,4,true,true,235000,68700,3000,426200
179,São Paulo,110,3,3,2,-,true,true,480000,5000,7300,492300
180,Belo Horizonte,90,2,2,2,3,true,true,200000,8400,2700,231100
181,São Paulo,384,4,6,4,3,true,true,1500000,34400,19100,1904000
182,São Paulo,57,2,1,1,7,true,true,150000,6700,2000,215700
183,São Paulo,160,3,3,2,5,true,true,150000,41900,2000,358900
184,São Paulo,39,1,1,0,8,true,true,125000,1900,1600,161500
185,Campinas,78,1,2,1,4,true,true,229000,14300,3000,246300
186,Porto Alegre,36,1,1,1,-,true,true,76200,1500,1400,79100
187,Campinas,70,2,1,1,1,true,true,120000,0,1600,177400
188,Belo Horizonte,45,1,1,1,4,true,true,320000,0,4300,354300
189,São Paulo,200,3,4,3,1,true,true,850000,125000,10800,1336000
190,São Paulo,100,3,3,3,-,true,true,430000,12000,6500,448500
191,São Paulo,42,1,1,1,14,true,true,500000,0,6400,506400
192,São Paulo,280,4,4,1,1,true,true,800000,29200,10200,1139000
193,São Paulo,28,1,1,1,13,true,true,280000,4200,3600,349300
194,São Paulo,30,1,1,0,-,true,true,182600,3000,2400,217600
195,Belo Horizonte,85,3,2,1,1,true,true,150000,8800,2000,194500
196,Campinas,83,1,1,1,4,true,true,108000,5900,1400,165300
197,Campinas,85,3,2,2,16,true,true,330000,15000,4200,404200
198,Belo Horizonte,90,3,2,2,3,true,true,160000,10500,2200,205200
199,Belo Horizonte,50,2,1,0,5,true,true,90000,10000,1200,101200
200,Rio de Janeiro,50,1,1,0,8,true,true,290000,13400,3800,367200
201,Belo Horizonte,300,3,2,3,-,true,true,670000,53900,11000,734900
202,Porto Alegre,39,1,1,0,7,true,true,85000,2700,1300,124000
203,São Paulo,750,4,4,6,-,true,true,1500000,208400,22600,1731000
204,Porto Alegre,60,2,1,0,1,true,true,110000,4600,1700,138500
205,Rio de Janeiro,68,2,1,0,4,true,true,125000,900,1700,202600
206,São Paulo,70,2,1,1,-,true,true,125000,5000,1600,154600
207,São Paulo,90,2,2,1,6,true,true,650000,8900,8300,757200
208,Rio de Janeiro,258,5,6,0,-,true,true,870000,67000,13300,950300
209,São Paulo,200,2,2,6,-,true,true,450000,29200,6800,486000
210,São Paulo,123,2,2,2,6,true,true,299000,62500,3800,545300
211,São Paulo,127,3,2,2,-,true,true,215000,6700,3300,247000
212,Belo Horizonte,180,4,2,2,-,true,true,180000,21000,3000,204000
213,São Paulo,110,3,2,0,-,true,true,290000,38400,4400,332800
214,Rio de Janeiro,70,2,2,1,7,true,true,171900,7700,2300,240400
215,São Paulo,35,1,1,1,8,true,true,300000,13000,3900,388900
216,São Paulo,219,3,2,2,-,true,true,290000,15000,4400,309400
217,Rio de Janeiro,25,1,1,0,-,true,true,70000,0,1000,76000
218,Rio de Janeiro,170,4,5,0,10,true,true,710000,63900,9200,903100
219,Rio de Janeiro,45,1,1,0,8,true,true,157000,9800,2100,258900
220,Belo Horizonte,420,4,4,2,-,true,true,700000,20000,11500,731500
221,Porto Alegre,46,1,1,0,4,true,true,104000,4800,1600,110400
222,São Paulo,145,3,3,2,1,true,true,580000,25000,7400,721200
223,Belo Horizonte,59,2,2,1,2,true,true,110000,5900,1500,136400
224,Belo Horizonte,225,4,3,0,8,true,true,750000,46600,10000,991600
225,São Paulo,210,4,4,3,3,true,true,467500,111000,6000,811500
226,Porto Alegre,76,1,1,0,-,true,true,124900,5200,1900,152900
227,São Paulo,220,3,4,3,2,true,true,515000,125000,6600,896600
228,São Paulo,109,3,2,2,7,true,true,250000,13400,3200,441200
229,Belo Horizonte,95,2,1,1,3,true,true,100000,12000,1400,178000
230,São Paulo,32,1,1,0,-,true,true,150000,5000,2000,185000
231,São Paulo,480,4,6,5,9,true,true,1500000,306300,19100,2491000
232,São Paulo,53,1,1,1,3,true,true,439000,20000,5600,534000
233,São Paulo,40,1,1,0,-,true,true,78000,1700,1200,80900
234,São Paulo,50,1,1,1,4,true,true,322300,10000,4100,386400
235,São Paulo,60,1,1,0,-,true,true,130000,25500,2000,157500
236,Porto Alegre,64,2,2,2,7,true,true,150000,5000,2200,202200
237,Rio de Janeiro,140,3,3,2,4,true,true,1200000,53500,15500,1497000
238,São Paulo,121,3,3,1,12,true,true,204000,33400,2600,320000
239,Campinas,43,1,1,1,4,true,true,210000,8400,2700,270900
240,São Paulo,20,1,1,1,3,true,true,136000,0,1800,307800
241,Campinas,58,2,1,1,3,true,true,95000,1100,1300,126300
242,Belo Horizonte,570,5,6,7,-,true,true,833000,87300,13700,934000
243,São Paulo,88,2,1,1,2,true,true,279000,0,3600,380600
244,São Paulo,89,3,2,2,19,true,true,600000,18400,7700,716100
245,Porto Alegre,47,1,1,1,1,true,true,220000,0,3300,263300
246,São Paulo,40,1,1,0,-,true,true,110000,5000,1700,116700
247,Rio de Janeiro,40,1,1,0,1,true,true,195000,9100,2600,245300
248,Rio de Janeiro,60,1,2,1,3,true,true,75000,8000,1000,124000
249,São Paulo,25,1,1,0,14,true,true,165000,0,2100,192800
250,Porto Alegre,50,2,1,0,13,true,true,113000,3000,1700,151700
251,Porto Alegre,90,3,1,0,1,true,true,113000,5500,1700,134700
252,São Paulo,173,3,3,3,2,true,true,200000,82500,2600,585100
253,Campinas,91,3,2,2,12,true,true,225000,17500,2900,315400
254,São Paulo,90,3,2,2,6,true,true,120000,10900,1600,303500
255,São Paulo,530,5,6,4,2,true,true,1500000,500000,19100,2849000
256,Belo Horizonte,155,1,4,0,4,true,true,279000,6400,3800,112000000
257,São Paulo,40,1,1,0,-,true,true,130000,0,1700,131700
258,São Paulo,296,4,5,3,3,true,true,1500000,0,19100,1519000
259,São Paulo,87,3,2,1,17,true,true,140000,20000,1800,246800
260,São Paulo,300,3,3,5,-,true,true,500000,58400,7600,566000
261,São Paulo,136,3,3,3,13,true,true,420600,36400,5400,605400
262,São Paulo,52,2,1,0,4,true,true,134000,0,1700,135700
263,Porto Alegre,94,2,2,2,8,true,true,290000,23000,4300,377300
264,Rio de Janeiro,300,4,5,3,7,true,true,1275000,75000,16500,1752000
265,Rio de Janeiro,100,3,3,1,3,true,true,322900,10000,4200,422100
266,São Paulo,500,4,6,3,-,true,true,730000,253600,11000,1641000
267,São Paulo,240,3,4,3,3,true,true,495000,100000,6300,961300
268,Belo Horizonte,308,2,3,3,-,true,true,200000,17100,3300,220400
269,São Paulo,350,4,5,4,15,true,true,459000,133400,5900,868300
270,São Paulo,75,2,2,0,2,true,true,145000,0,1900,203900
271,São Paulo,155,3,2,3,4,true,true,1170000,66700,14900,1512000
272,São Paulo,260,3,5,4,12,true,true,600000,146800,7700,977200
273,São Paulo,80,2,2,1,-,true,true,150000,18400,2300,170700
274,Rio de Janeiro,85,3,1,1,6,true,true,199800,8700,2600,292100
275,São Paulo,120,2,2,2,22,true,true,350000,37500,4500,532000
276,São Paulo,100,2,2,1,-,true,true,197000,0,3000,200000
277,São Paulo,240,4,5,4,6,true,true,350000,71700,4500,613100
278,São Paulo,360,7,6,6,-,true,true,527000,24500,8000,559500
279,São Paulo,42,1,1,0,-,true,true,110000,0,1700,111700
280,São Paulo,33,1,1,1,14,true,true,280000,11200,3600,354800
281,Rio de Janeiro,48,1,1,0,1,true,true,102000,5300,1400,171300
282,Rio de Janeiro,36,1,1,0,5,true,true,113000,4200,1500,153700
283,São Paulo,270,6,3,6,-,true,true,450000,41700,6800,498500
284,Campinas,75,2,1,1,2,true,true,120000,12100,1600,200700
285,Rio de Janeiro,46,2,1,0,3,true,true,160000,0,2100,189100
286,São Paulo,350,3,3,3,-,true,true,1000000,129200,15100,1144000
287,Porto Alegre,131,3,3,1,10,true,true,175000,12100,2600,352200
288,Campinas,90,3,2,1,3,true,true,130000,12900,1700,236600
289,Rio de Janeiro,26,1,1,0,4,true,true,165000,12000,2200,218200
290,Rio de Janeiro,44,1,1,0,3,true,true,110000,1400,1500,152900
291,São Paulo,70,2,2,0,-,true,true,188000,0,2900,190900
292,Belo Horizonte,40,1,1,0,-,true,true,90000,0,1500,91500
293,Belo Horizonte,320,4,2,4,-,true,true,320000,20600,5300,345900
294,São Paulo,213,2,2,3,-,true,true,515000,0,7800,522800
295,São Paulo,80,2,1,0,1,true,true,110000,0,1400,111400
296,Campinas,70,1,1,0,6,true,true,80000,3000,1100,134100
297,Rio de Janeiro,60,2,1,1,5,true,true,150000,2500,2000,223500
298,São Paulo,270,4,4,4,5,true,true,1285000,183400,16300,1935000
299,Rio de Janeiro,70,2,1,1,3,true,true,130000,4400,1700,216100
300,Porto Alegre,300,6,2,2,-,true,true,600000,24200,10700,634900
301,São Paulo,220,4,5,3,14,true,true,1200000,75000,15300,1495000
302,Porto Alegre,64,2,2,2,7,true,true,160000,3400,2400,210800
303,Rio de Janeiro,80,3,3,1,7,true,true,147000,0,1900,258900
304,São Paulo,56,1,1,0,9,true,true,250000,8100,3200,323800
305,São Paulo,161,4,3,2,1,true,true,1000000,46700,12700,1204000
306,São Paulo,35,1,1,0,-,true,true,135000,0,1800,171800
307,São Paulo,720,4,6,5,-,true,true,1275000,261300,19200,1556000
308,São Paulo,280,4,5,4,6,true,true,320000,75000,4100,649100
309,Porto Alegre,96,3,2,0,2,true,true,210000,8400,3100,262300
310,Campinas,236,3,4,4,10,true,true,1100000,44000,14000,1318000
311,São Paulo,81,3,2,1,4,true,true,151000,0,2000,173400
312,São Paulo,62,2,1,1,1,true,true,165000,9200,2100,234300
313,Belo Horizonte,125,3,2,0,2,true,true,120000,6900,1600,143500
314,São Paulo,37,1,1,1,6,true,true,415000,11000,5300,520300
315,São Paulo,60,2,2,1,11,true,true,400000,20000,5100,593100
316,São Paulo,230,4,2,3,1,true,true,500000,155100,6400,1022000
317,São Paulo,210,4,5,2,1,true,true,850000,0,10800,1241000
318,São Paulo,450,4,3,8,-,true,true,1400000,17500,21100,1439000
319,São Paulo,234,3,5,4,-,true,true,368000,40000,5600,413600
320,Belo Horizonte,135,4,3,2,2,true,true,245000,30800,3300,365900
321,São Paulo,395,4,5,3,-,true,true,600000,12200,9100,621300
322,Porto Alegre,92,2,2,1,2,true,true,170000,6700,2500,224200
323,São Paulo,412,3,5,6,21,true,true,395200,45900,5100,646200
324,São Paulo,42,1,1,1,27,true,true,530000,10000,6800,602800
325,São Paulo,33,1,1,0,12,true,true,300000,12500,3900,354900
326,Porto Alegre,28,2,1,1,-,true,true,60000,0,1100,61100
327,São Paulo,190,4,4,2,-,true,true,445000,22300,6700,474000
328,São Paulo,165,4,3,3,10,true,true,630000,129200,8000,1011000
329,Porto Alegre,44,1,1,0,5,true,true,120000,2000,1800,159300
330,São Paulo,60,2,1,1,4,true,true,127500,10900,1700,200400
331,São Paulo,380,3,3,2,1,true,true,1100000,108400,14000,1580000
332,Rio de Janeiro,73,2,1,0,4,true,true,83000,12000,1100,133600
333,Belo Horizonte,19,1,1,0,5,true,true,110000,8500,1500,182000
334,Campinas,230,3,5,4,6,true,true,750000,0,9600,939600
335,Porto Alegre,37,1,1,1,2,true,true,250000,0,3700,303700
336,São Paulo,124,3,2,3,7,true,true,660000,30000,8400,843400
337,Rio de Janeiro,115,3,2,1,8,true,true,268000,11400,3500,391900
338,Campinas,600,3,3,4,-,true,true,550000,38400,8300,596700
339,Rio de Janeiro,700,5,5,4,-,true,true,1500000,166700,22900,1828000
340,Porto Alegre,35,1,1,0,1,true,true,81500,1700,1200,94400
341,Belo Horizonte,15,1,1,0,3,true,true,110000,0,1500,111500
342,Campinas,80,3,2,1,2,true,true,145000,12500,1900,216400
343,Porto Alegre,48,1,1,0,4,true,true,70000,3800,1100,94900
344,Belo Horizonte,96,3,2,1,2,true,true,150000,13700,2000,257900
345,São Paulo,150,3,2,1,7,true,true,671500,34000,8600,898400
346,Belo Horizonte,105,3,2,2,2,true,true,330000,39000,4400,541500
347,Belo Horizonte,204,4,4,4,22,true,true,1000000,76000,13400,1360000
348,Rio de Janeiro,125,3,1,2,11,true,true,260000,17000,3300,412000
349,Rio de Janeiro,50,2,1,0,3,true,true,230000,5000,3000,287000
350,São Paulo,250,3,4,3,-,true,true,374000,23400,5700,403100
351,São Paulo,300,3,4,3,7,true,true,200000,125000,2600,627600
352,São Paulo,80,2,1,1,-,true,true,150000,5500,2300,157800
353,Rio de Janeiro,130,3,4,1,2,true,true,140000,33400,1900,295300
354,São Paulo,120,2,3,0,2,true,true,330000,19500,4200,444100
355,São Paulo,540,3,3,4,9,true,true,1500000,350000,19100,2489000
356,São Paulo,23,1,1,0,23,true,true,210000,4100,2700,256000
357,São Paulo,15,1,1,0,-,true,true,250000,0,3200,253200
358,São Paulo,72,1,2,2,19,true,true,400000,20000,5100,515100
359,Rio de Janeiro,95,3,2,2,7,true,true,230000,12200,3000,343700
360,São Paulo,330,4,5,4,13,true,true,1000000,111900,12700,1412000
361,São Paulo,75,2,2,2,7,true,true,660000,40000,8400,868400
362,São Paulo,53,1,1,1,4,true,true,439800,20000,5600,534400
363,São Paulo,178,3,2,1,2,true,true,190000,18000,2500,330500
364,São Paulo,150,3,2,0,-,true,true,400000,2400,6100,408500
365,São Paulo,50,2,1,1,4,true,true,120000,3000,1600,176600
366,São Paulo,150,3,2,1,-,true,true,250000,5900,3800,259700
367,Porto Alegre,25,1,1,0,-,true,true,98400,1100,1500,129600
368,São Paulo,210,3,4,4,13,true,true,1200000,115500,15300,1646000
369,Belo Horizonte,75,3,2,1,4,true,true,150000,7500,2000,219500
370,Belo Horizonte,200,2,4,3,12,true,true,1500000,82700,20000,1792000
371,São Paulo,350,4,4,0,-,true,true,800000,98900,12100,911000
372,Porto Alegre,49,2,1,1,7,true,true,115000,3000,1700,155700
373,Porto Alegre,40,1,1,0,4,true,true,200000,0,3000,203000
374,São Paulo,45,1,1,1,2,true,true,420000,35000,5400,650400
375,São Paulo,46,1,1,1,8,true,true,760000,11800,9700,871500
376,São Paulo,80,2,2,2,15,true,true,1100000,0,14000,1314000
377,São Paulo,30,1,1,0,3,true,true,285000,0,3700,328700
378,São Paulo,80,2,2,2,-,true,true,220000,17300,3400,245700
379,Rio de Janeiro,105,2,2,1,10,true,true,153000,13400,2000,346400
380,Belo Horizonte,105,3,2,2,7,true,true,200000,21900,2700,341600
381,São Paulo,114,3,1,0,-,true,true,257000,15000,3900,275900
382,São Paulo,200,3,3,4,-,true,true,700000,42500,10600,753100
383,Porto Alegre,120,3,3,2,5,true,true,300000,16700,4400,401100
384,São Paulo,60,2,2,1,11,true,true,400000,2100,5100,471900
385,São Paulo,90,2,1,1,1,true,true,300000,5000,3900,408900
386,Rio de Janeiro,53,2,1,0,3,true,true,180000,5000,2400,240900
387,São Paulo,80,2,2,5,-,true,true,300000,5900,4600,310500
388,Campinas,87,4,2,2,4,true,true,160000,10600,2100,251100
389,Rio de Janeiro,110,3,1,1,1,true,true,500000,18800,6500,581000
390,Belo Horizonte,113,4,2,1,3,true,true,400000,42900,5400,607000
391,São Paulo,170,3,2,2,5,true,true,500000,42300,6400,768600
392,São Paulo,150,3,2,0,1,true,true,300000,4200,3900,378100
393,Porto Alegre,60,2,2,1,11,true,true,150000,5100,2200,204200
394,Porto Alegre,43,1,1,0,4,true,true,210000,6600,3100,248700
